    Spearman   Pearson  Jaccard@1  Jaccard@2  Jaccard@3  Jaccard@4  Jaccard@5  Jaccard@6  Jaccard@7  Jaccard@8  Jaccard@9  Jaccard@10  Jaccard@11  Jaccard@12  Jaccard@13  Jaccard@14  Jaccard@15  Jaccard@16  Jaccard@17  Jaccard@18  Jaccard@19  Jaccard@20  Jaccard@21  Jaccard@22  Jaccard@23  Jaccard@24  Jaccard@25  Jaccard@26  Jaccard@27  Jaccard@28  Jaccard@29  Jaccard@30  Jaccard@31  Jaccard@32  Jaccard@33  Jaccard@34  Jaccard@35  Jaccard@36  Jaccard@37  Jaccard@38  Jaccard@39  Jaccard@40  Jaccard@41  Jaccard@42  Jaccard@43  Jaccard@44  Jaccard@45  Jaccard@46  Jaccard@47  Jaccard@48  Jaccard@49  Jaccard@50
35  0.188571  0.655829        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.125000    0.176471    0.157895    0.142857    0.130435    0.166667    0.200000    0.185185    0.259259    0.285714    0.310345    0.333333    0.354839    0.375000    0.393939    0.454545    0.470588    0.485714    0.542857    0.513514    0.526316    0.500000    0.512195    0.523810    0.500000    0.511111    0.555556    0.600000    0.644444    0.688889    0.695652    0.739130    0.744681    0.750000    0.791667    0.833333    0.836735    0.840000    0.880000    0.920000        0.96         1.0
36 -0.025306  0.666267        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.333333   0.285714    0.250000    0.294118    0.263158    0.238095    0.333333    0.304348    0.280000    0.259259    0.241379    0.266667    0.290323    0.272727    0.257143    0.243243    0.263158    0.315789    0.333333    0.350000    0.333333    0.380952    0.428571    0.441860    0.422222    0.434783    0.446809    0.489362    0.531915    0.574468    0.617021    0.591837    0.632653    0.640000    0.680000    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
37  0.129892  0.845602        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.125000    0.176471    0.157895    0.142857    0.130435    0.166667    0.250000    0.280000    0.259259    0.241379    0.225806    0.250000    0.272727    0.294118    0.314286    0.333333    0.351351    0.368421    0.384615    0.400000    0.450000    0.428571    0.441860    0.454545    0.500000    0.545455    0.521739    0.531915    0.574468    0.617021    0.625000    0.632653    0.673469    0.680000    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
38 -0.110012  0.827551        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.272727   0.230769   0.200000    0.176471    0.157895    0.200000    0.181818    0.166667    0.200000    0.185185    0.172414    0.200000    0.187500    0.176471    0.235294    0.222222    0.210526    0.263158    0.315789    0.300000    0.350000    0.365854    0.348837    0.333333    0.347826    0.391304    0.404255    0.446809    0.458333    0.469388    0.510204    0.520000    0.560000    0.600000    0.640000    0.680000    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
39  0.165906  0.824849        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.125000    0.111111    0.157895    0.200000    0.181818    0.217391    0.250000    0.280000    0.307692    0.285714    0.357143    0.333333    0.312500    0.333333    0.352941    0.333333    0.351351    0.405405    0.384615    0.365854    0.380952    0.428571    0.409091    0.454545    0.500000    0.511111    0.555556    0.600000    0.608696    0.617021    0.659574    0.702128    0.744681    0.787234    0.829787    0.872340    0.875000    0.877551    0.918367    0.959184        0.96         1.0
40  0.204706  0.721721        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.230769   0.200000    0.250000    0.294118    0.263158    0.238095    0.217391    0.250000    0.280000    0.307692    0.333333    0.310345    0.290323    0.312500    0.375000    0.393939    0.454545    0.470588    0.444444    0.421053    0.435897    0.450000    0.500000    0.512195    0.523810    0.534884    0.545455    0.555556    0.600000    0.574468    0.617021    0.625000    0.632653    0.673469    0.714286    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
41  0.094838  0.714960        1.0        1.0        0.5   0.333333   0.428571   0.333333   0.272727   0.230769   0.200000    0.176471    0.157895    0.142857    0.181818    0.272727    0.304348    0.333333    0.360000    0.333333    0.310345    0.290323    0.272727    0.294118    0.277778    0.297297    0.315789    0.333333    0.384615    0.435897    0.450000    0.428571    0.441860    0.454545    0.500000    0.511111    0.555556    0.600000    0.574468    0.617021    0.659574    0.702128    0.744681    0.750000    0.755102    0.795918    0.836735    0.877551    0.880000    0.920000        0.96         1.0
42  0.331861  0.880173        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.200000    0.176471    0.157895    0.263158    0.238095    0.272727    0.304348    0.280000    0.259259    0.241379    0.266667    0.290323    0.312500    0.333333    0.352941    0.371429    0.388889    0.444444    0.459459    0.435897    0.450000    0.463415    0.512195    0.560976    0.609756    0.658537    0.707317    0.714286    0.761905    0.767442    0.772727    0.777778    0.782609    0.787234    0.829787    0.833333    0.875000    0.877551    0.880000    0.920000        0.96         1.0
43 -0.030396  0.865587        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.125000    0.111111    0.100000    0.142857    0.181818    0.166667    0.153846    0.142857    0.133333    0.125000    0.187500    0.212121    0.235294    0.257143    0.277778    0.297297    0.282051    0.268293    0.317073    0.365854    0.348837    0.395349    0.409091    0.422222    0.466667    0.511111    0.521739    0.531915    0.574468    0.583333    0.625000    0.666667    0.673469    0.714286    0.755102    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
44 -0.045090  0.849260        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.272727   0.230769   0.200000    0.176471    0.157895    0.200000    0.181818    0.166667    0.153846    0.142857    0.214286    0.200000    0.225806    0.212121    0.200000    0.222222    0.243243    0.230769    0.282051    0.333333    0.350000    0.400000    0.414634    0.395349    0.409091    0.391304    0.434783    0.446809    0.489362    0.500000    0.510204    0.551020    0.591837    0.632653    0.640000    0.680000    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
45  0.357887  0.704070        1.0        1.0        0.5   0.600000   0.428571   0.333333   0.272727   0.230769   0.200000    0.250000    0.222222    0.200000    0.238095    0.217391    0.200000    0.230769    0.307692    0.285714    0.266667    0.290323    0.312500    0.333333    0.352941    0.411765    0.428571    0.444444    0.500000    0.513514    0.487179    0.500000    0.512195    0.523810    0.571429    0.619048    0.666667    0.714286    0.761905    0.767442    0.733333    0.739130    0.744681    0.787234    0.791667    0.795918    0.836735    0.877551    0.918367    0.920000        0.96         1.0
